Name,ref,JName,RA,DEC,Binary Type,Companion,Dist (Kpc)
J1853+1303,fsk+04,J1853+1303,18:53:57.318305,+13:03:44.05085,ELL1H,He,1.319
J1855-1436,san16,J1855-1436,18:55:54.2286,-14:36:08.98,DD,He,5.126
B1855+09,srs+86,J1857+0943,18:57:36.390426,+09:43:17.19585,ELL1,He,1.200
J1858-2216,san16,J1858-2216,18:58:17.8792,-22:16:56.4,ELL1,He,0.921
J1900+0308,csl+12,J1900+0308,19:00:50.5548,+03:08:24.079,ELL1,He,4.801
J1901+0300,skl+15,J1901+0300,19:01:59.6168,+03:00:23.324,ELL1,He,5.304
J1902-5105,kcj+12,J1902-5105,19:02:02.84821,-51:05:56.9695,ELL1,He,1.645
J1903+0327,crl+08,J1903+0327,19:03:05.793213,+03:27:19.20911,DD,MS,6.122
J1903-7051,ckr+15,J1903-7051,19:03:38.7935,-70:51:43.461,ELL1,He,0.930
J1904+0412,clm+01,J1904+0412,19:04:31.382,+04:12:05.9,BT,He,4.578
J1905+0154A,hrs+07,J1905+0154A,19:05:15.4,+01:54:33,ELL1,He(?),14.450
J1906+0055,lbh+15,J1906+0055,19:06:48.68051,+00:55:07.886,ELL1,He,4.477
J1906+0454,pkr+19,J1906+0454,19:06:47.13970,+04:54:09.042,ELL1,He,4.092
J1906+0746,lsf+06,J1906+0746,19:06:48.86,+07:46:25.9,DD,NS(?),7.400
J1909+21,cck+16,J1909+21,19:09:32,+21:03,BT,UL,2.592
J1909-3744,jbv+03,J1909-3744,19:09:47.4346749,-37:44:14.46674,T2,He,1.140
J1910+1256,fsk+04,J1910+1256,19:10:09.701485,+12:56:25.45903,DD,He,1.496
J1910-5959A,dlm+01,J1910-5959A,19:11:42.75562,-59:58:26.9029,DD,He,4.550
B1908+00A,dma+93,J1911+0101A,19:11:11.08957,+01:02:09.741,ELL1,UL,9.500
J1911-1114,llb+96,J1911-1114,19:11:49.28233,-11:14:22.481,ELL1,He,1.070
J1913+0618,lbh+15,J1913+0618,19:13:17.8786,+06:18:08.277,DD,He/CO(?),5.863
J1913+1102,lfa+16,J1913+1102,19:13:29.0542,+11:02:05.741,DD,NS,7.140
B1913+16,ht75a,J1915+1606,19:15:27.99942,+16:06:27.3868,DDH,NS,4.167
J1918-0642,eb01b,J1918-0642,19:18:48.032722,-06:42:34.90044,ELL1H,He,1.111
J1921+0137,san16,J1921+0137,19:21:30.30765,+01:37:25.539,ELL1,He,5.085
J1921+1929,pkr+19,J1921+1929,19:21:23.35070,+19:29:22.299,ELL1,He,2.434
J1928+1245,pkr+19,J1928+1245,19:28:45.39360,+12:45:53.374,ELL1,UL,6.079
J1930-1852,srm+15,J1930-1852,19:30:29.7156,-18:51:46.27,BT,NS,2.004
J1930+2441,pkr+19,J1930+2441,19:30:45.39844,+24:41:01.564,ELL1,He,3.268
J1932+1500,lsb+17,J1932+1500,19:32:46.307,+15:00:22.2,BT,He(?),2.849
J1932+1756,lbh+15,J1932+1756,19:32:07.2277,+17:56:17.31,DD,CO(?),2.116
J1933+1726,lbh+15,J1933+1726,19:33:22.9828,+17:26:49.606,ELL1,CO,4.072
J1933-6211,jbo+07,J1933-6211,19:33:32.42668,-62:11:46.876,ELL1,CO(?),0.650
J1935+1726,lcm13,J1935+1726,19:35:03.948,+17:26:28.46,ELL1,He,2.305
J1937+1658,pkr+19,J1937+1658,19:37:24.90851,+16:58:42.553,ELL1,He,3.259
J1938+2012,lbh+15,J1938+2012,19:38:40.0803,+20:12:50.827,ELL1,He,6.301
J1938+6604,slr+14,J1938+6604,19:38:56.92152,+66:04:31.7077,ELL1,CO(?),3.380
J1943+2210,skl+15,J1943+2210,19:43:16.4910,+22:10:23.151,ELL1,CO,6.774
J1946+2052,sfc+18,J1946+2052,19:46:14.130,+20:52:24.64,DD,NS,3.510
J1946+3417,bck+13,J1946+3417,19:46:25.131145,+34:17:14.68898,DDH,He,6.941
J1946-5403,ckr+15,J1946-5403,19:46:24,-54:02,BT,*,1.147
J1949+3106,dfc+12,J1949+3106,19:49:29.6374604,+31:06:03.80604,DDGR,CO,7.468
J1950+2414,kls+15,J1950+2414,19:50:45.063661,+24:14:56.9639,DDGR,He,7.269
J1952+2630,kla+11,J1952+2630,19:52:36.8401,+26:30:28.073,ELL1,CO,10.033
J1953+1846A,hrs+07,J1953+1846A,19:53:46,+18:46:42,BT,UL,6.000
B1953+29,bbf83,J1955+2908,19:55:27.875316,+29:08:43.43625,DD,He,6.305
J1957+2516,lbh+15,J1957+2516,19:57:34.6115,+25:16:02.076,ELL1,UL(?),2.659
B1957+20,fst88,J1959+2048,19:59:36.76988,+20:48:15.1222,BT,UL,1.400
J2010+3051,pkr+19,J2010+3051,20:10:03.9542,+30:51:18.892,ELL1,He,6.450
J2016+1948,naf03,J2016+1948,20:16:57.44349,+19:47:51.5882,BT,He,2.162
J2017+0603,cgj+11,J2017+0603,20:17:22.705223,+06:03:05.56393,ELL1H,He,1.399
J2017-1614,san16,J2017-1614,20:17:46.1478,-16:14:15.51,ELL1,UL,1.444
